id,alias,name,image_url,is_closed,url,review_count,categories,rating,latitude,longitude,distance,address,price,is_delivery,is_pickup,category
ZmQQBH59J1oPWH7cpj-qkQ,eastern-watersports-baltimore,Eastern Watersports,https://s3-media4.fl.yelpcdn.com/bphoto/koc-g_-V9smwXQ12L-kYAg/o.jpg,False,https://www.yelp.com/biz/eastern-watersports-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,3,"Scuba Diving, Rafting/Kayaking, Paddleboarding",4.5,39.3253678506723,-76.4441850408912,24582.558213244654,"1923 Old Eastern Ave Baltimore, MD 21221",,False,False,paddleboarding
DILDP_3fG5U-VVWj-NbL8g,callevas-liquid-adventures-poolesville,Calleva's Liquid Adventures,https://s3-media2.fl.yelpcdn.com/bphoto/j_ENAWWVXIIJFTAYUq1I9A/o.jpg,False,https://www.yelp.com/biz/callevas-liquid-adventures-poolesville?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,5,"Rafting/Kayaking, Paddleboarding",3.5,39.0700836181641,-77.3412857055664,57775.49363536205,"13015 Riley's Lock Rd Poolesville, MD 20837",,False,False,paddleboarding
wJlwXbcL19aULvlhPjJ1_A,eastern-watersports-middle-river-5,Eastern Watersports,https://s3-media2.fl.yelpcdn.com/bphoto/WM_EM-4zWYo_To3RzcDF_g/o.jpg,False,https://www.yelp.com/biz/eastern-watersports-middle-river-5?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,2,"Rafting/Kayaking, Paddleboarding, Sailing",4.5,39.3620316059903,-76.340044308429,34387.478274911795,"7200 Graces Quarters Rd Middle River, MD 21220",,False,False,paddleboarding
8I08C-Sh-Qvg4pzv8FZbgw,nr-paintball-severn,NR Paintball,https://s3-media3.fl.yelpcdn.com/bphoto/nlnxFKUZW2pHWCmkNCzElA/o.jpg,False,https://www.yelp.com/biz/nr-paintball-severn?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,11,Paintball,5.0,39.1456756383048,-76.6808340624924,12364.4278027063,"922 Wieker Rd Severn, MD 21144",,False,False,paintball
Yhx_YNJxHGcKmzmH7MZ70Q,pasadena-paintball-park-curtis-bay,Pasadena Paintball Park,https://s3-media2.fl.yelpcdn.com/bphoto/qfzOnicmoD3X9hte9-fm6g/o.jpg,False,https://www.yelp.com/biz/pasadena-paintball-park-curtis-bay?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,13,Paintball,4.0,39.1874886,-76.568573,14567.590892509974,"7360 Carbide Rd Curtis Bay, MD 21226",,False,False,paintball
xVu_m4FuZ4TAg40Ie1hmpw,insight-paintball-laurel-2,Insight Paintball,,False,https://www.yelp.com/biz/insight-paintball-laurel-2?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,3,Paintball,3.5,39.109194,-76.836035,19191.588736047204,"10051 N 2nd St Laurel, MD 20723",,False,False,paintball
Wa801wQSdU0mWVGgV7ujwQ,federal-hill-park-baltimore,Federal Hill Park,https://s3-media1.fl.yelpcdn.com/bphoto/2R7kQZB5rXUz8kqIJLm_zw/o.jpg,False,https://www.yelp.com/biz/federal-hill-park-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,96,"Parks, Playgrounds, Baseball Fields",4.5,39.2789918,-76.6097767,9436.314085356214,"300 Warren Ave Baltimore, MD 21230",,False,False,parks
DiaoiNrJQ7bUosRv5QVBgA,sherwood-gardens-baltimore,Sherwood Gardens,https://s3-media2.fl.yelpcdn.com/bphoto/61xTSC9cyBJ7_4mXq94DwQ/o.jpg,False,https://www.yelp.com/biz/sherwood-gardens-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,37,"Parks, Botanical Gardens",5.0,39.3417395,-76.613505,13080.4648162986,"4310 Underwood Rd Baltimore, MD 21218",,False,False,parks
AW2QBu0dTTA8EwFt6rWBJg,washington-monument-and-mount-vernon-place-baltimore-2,Washington Monument and Mount Vernon Place,https://s3-media3.fl.yelpcdn.com/bphoto/wlK7tZuOQSjd4QD4p6EKbA/o.jpg,False,https://www.yelp.com/biz/washington-monument-and-mount-vernon-place-baltimore-2?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,53,"Landmarks & Historical Buildings, Parks",4.5,39.297543,-76.615672,9795.819205967277,"699 Washington Pl Baltimore, MD 21201",,False,False,parks
LB77imIUEVdcLVIL0MbF_Q,lake-elkhorn-park-columbia-2,Lake Elkhorn Park,https://s3-media4.fl.yelpcdn.com/bphoto/9W8E6OizYj-ffBmhFibMxw/o.jpg,False,https://www.yelp.com/biz/lake-elkhorn-park-columbia-2?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,47,"Parks, Playgrounds",4.5,39.18562,-76.846175,13646.05769271853,"7200 Dockside Ln Columbia, MD 21046",,False,False,parks
